State,SmokeShops,Dispensaries,Lounges
AL,160,0,0
AK,19,155,3
AZ,234,160,0
AR,100,37,0
CA,1247,1412,33
CO,238,668,3
CT,208,74,0
DE,95,12,0
DC,47,65,0
FL,1289,766,0
GA,464,19,0
HI,32,25,0
ID,32,0,0
IL,361,255,3
IN,190,0,0
IA,91,5,0
KS,253,0,0
KY,167,12,0
LA,94,28,0
ME,27,220,0
MD,332,116,0
MA,157,410,0
MI,455,950,4
MN,75,55,1
MS,96,175,0
MO,288,224,0
MT,24,500,0
NE,85,0,0
NV,128,103,2
NH,126,7,0
NJ,420,323,3
NM,96,300,7
NY,853,600,0
NC,411,1,0
ND,11,8,0
OH,420,190,0
OK,159,1355,0
OR,129,795,0
PA,568,190,0
RI,49,7,0
SC,174,0,0
SD,45,51,0
TN,282,0,0
TX,2664,3,0
UT,69,15,0
VT,25,108,0
VA,330,22,0
WA,132,473,0
WV,63,65,0
WI,166,0,0
WY,15,0,0
